customer_id,gender,location,age,monthly_income,monthly_emi_outflow,total_credit_limit,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,months_since_last_default,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,target_credit_score_movement
69,female,Patna,25,27509,25676,60000,259070,0.73,1,53,0,0,2,19816.56,105006,Stable
70,female,Nashik,39,74272,70391,170000,1554233,0.12,4,80,16,0,2,27289.79,503951,Stable
71,female,Bikaner,29,48007,3028,130000,36608,0.28,1,71,5,88,1,29512.48,130327,Stable
72,female,Raigarh,21,27986,15056,80000,76785,0.11,0,64,0,0,3,24549.34,87739,Stable
73,male,Moradabad,21,40852,14854,120000,75755,0.23,3,45,0,76,5,88584.07,43511,Decrease
74,female,Vijayawada,56,153841,44759,380000,407306,0.11,1,79,0,0,0,71919.49,888052,Increase
75,male,Imphal,69,202786,32644,570000,67899,0.08,0,50,28,0,1,58674.59,186676,Increase
76,female,Tirunelveli,33,65459,61236,140000,617871,0.47,1,50,0,23,2,37611.62,249576,Stable
77,female,Chandigarh,22,30929,27062,60000,300117,0.71,0,70,1,26,1,14481.27,154518,Stable
78,female,Kurnool,21,38573,8754,90000,27137,0.81,0,79,0,0,2,28333.71,272854,Stable
79,male,Coimbatore,28,24627,8983,70000,63599,0.9,3,32,26,30,5,48175.46,9610,Decrease
80,female,Bikaner,39,60459,47694,180000,51509,0.07,0,47,0,0,5,128461.1,78026,Decrease
81,male,Saharanpur,27,38316,25010,100000,127550,0.15,2,71,19,0,1,21300.34,274716,Stable
82,female,Kottayam,26,28504,21367,70000,23503,0.14,3,66,0,0,4,32416.24,195632,Stable
83,male,Chandigarh,26,26392,14539,70000,15992,0.24,2,72,0,0,1,24391.87,159191,Stable
84,female,Coimbatore,65,249328,122035,660000,1230112,0.2,1,62,0,0,1,156160.39,264091,Stable
85,male,Ahmedabad,24,21771,8243,50000,157358,0.82,1,62,0,0,4,15731.3,89314,Stable
86,male,Satna,28,49126,15397,140000,62973,0.33,2,64,0,0,2,62894.54,181573,Stable
87,female,Surat,25,47586,22889,100000,70498,0.68,1,41,0,18,7,68040.26,34877,Stable
88,male,Pune,24,23204,16338,60000,164850,0.27,3,73,0,0,1,19358.93,224355,Stable
89,female,Vijayawada,25,33236,12066,100000,290669,0.27,0,80,0,0,1,20229.84,107592,Stable
90,female,Visakhapatnam,27,26067,22751,60000,343085,0.61,2,61,0,0,2,29874.36,176879,Stable
91,female,Nagpur,47,134618,87949,290000,1064182,0.17,2,60,2,0,2,100003.03,261878,Stable
92,female,Coimbatore,32,75652,2847,200000,23060,0.12,3,60,0,0,3,71839.29,147113,Increase
93,female,Jalna,28,42106,30323,100000,33052,0.94,0,30,4,63,7,69645.07,10384,Decrease
94,female,Agra,22,26414,7116,70000,71800,0.85,1,63,5,0,4,34553.97,195670,Stable
95,female,Vadodara,34,85665,78776,250000,1424270,0.5,1,69,0,17,3,105415.58,369423,Stable
96,female,Indore,34,70227,17255,150000,191185,0.16,1,62,15,0,2,62393.08,309553,Stable
97,female,Kolkata,40,65777,24336,160000,221214,0.8,0,52,0,0,2,65946.53,149458,Stable
98,female,Nellore,22,23820,18234,50000,110862,0.76,3,90,1,0,1,7189.14,452503,Decrease
99,female,Shillong,29,21236,19951,50000,221256,0.2,0,77,0,0,2,17004.59,218062,Stable
100,male,Kavaratti,22,23793,14248,70000,286384,0.03,1,36,0,0,6,44290.5,26319,Stable
101,male,Chandigarh,56,169251,38906,450000,781621,0.2,0,73,0,23,1,79964.27,555492,Stable
102,female,Ahmedabad,23,32451,1068,70000,17184,0.15,1,49,0,0,8,52665.46,5634,Decrease
103,female,Mumbai,31,61874,6277,170000,82228,0.03,2,87,14,0,1,13738.25,718980,Increase
104,female,Tirunelveli,29,35033,21738,90000,480409,0.76,3,68,0,0,4,30230.38,162074,Stable
105,female,Madurai,52,176849,96121,420000,1739790,0.07,0,69,0,0,2,73677.64,176066,Increase
106,female,Vadodara,37,74493,2842,160000,20178,0.86,4,57,6,23,3,61046.86,217314,Stable
107,female,Firozabad,37,95476,5226,220000,42330,0.23,2,56,0,26,2,76520.09,162705,Stable
108,female,Kottayam,28,23777,0,50000,0,0.26,0,88,14,0,0,12122.93,280390,Increase
109,female,Kottayam,55,194456,116062,560000,1053842,0.72,0,85,0,0,1,51340.07,1028387,Increase
110,male,Kochi,40,78495,66316,180000,403201,0.27,2,71,0,0,1,28259.43,481285,Stable
111,female,Dehradun,27,24507,6925,70000,159967,0.49,3,74,27,0,1,21671.72,204338,Stable
112,male,Jaipur,27,35669,2418,100000,24373,0.3,1,59,13,0,3,30956.22,192606,Stable
113,female,Kochi,26,41755,15987,110000,113347,0.38,0,72,26,0,1,34162.36,270722,Stable
114,female,Madurai,65,209373,61178,540000,740253,0.09,0,76,0,0,1,79705.22,336151,Stable
115,male,Shirdi,34,80238,20010,230000,122061,0.92,0,70,0,0,1,63525.59,496857,Stable
116,female,Dharwad,23,46597,14318,100000,187279,0.9,1,81,0,0,2,24641.4,259887,Stable
117,male,Chandigarh,41,146178,16934,380000,289571,0.19,3,76,0,17,2,74255.25,1059498,Stable
118,female,Ghaziabad,39,63254,34730,180000,37508,0.02,3,90,4,0,0,23229.42,522778,Increase
119,female,Raebareli,37,71329,46330,210000,559666,0.06,4,72,0,0,2,62645.62,427414,Stable
120,male,Jamshedpur,69,226543,38943,630000,470431,0.17,0,50,0,0,1,121425.68,259098,Increase
121,female,Panipat,25,38659,18387,90000,166953,0.12,2,72,4,0,1,18773.35,265759,Stable
122,male,Dharwad,25,34521,18337,90000,441921,0.94,3,53,0,0,4,34100.66,90789,Stable
123,female,Nagapattinam,29,26228,12837,80000,129525,0.61,0,59,7,16,3,29861.23,81453,Stable
124,male,Imphal,29,42275,28556,100000,259574,0.19,1,61,8,22,3,47774.14,123761,Stable
125,male,Solapur,64,229279,191474,610000,1550939,0.4,0,86,0,0,1,24505.49,643713,Increase
126,female,Jamshedpur,26,21615,0,50000,0,0.95,2,65,0,0,4,17485.98,151511,Stable
127,female,Meerut,60,188161,59029,550000,832308,0.67,1,31,0,0,2,269306.09,72145,Stable
128,male,Rajkot,36,92977,42387,210000,172938,0.42,4,51,0,0,3,74843.66,396411,Stable
129,female,Agartala,65,234581,37781,540000,380832,0.44,0,71,0,0,0,58073.41,296237,Increase
130,female,Dehradun,22,28474,18449,80000,186334,0.3,1,30,0,24,5,60817.77,43188,Decrease
131,female,Solapur,63,231819,6284,470000,57121,0.05,0,37,0,0,1,88795.45,20364,Increase
132,male,Chennai,28,32264,0,70000,0,0.19,2,69,11,0,3,32196.96,74137,Stable
133,male,Haldwani,33,75835,55064,170000,831466,0.03,1,69,3,0,2,69891.88,309475,Stable
134,male,Nellore,34,96012,75977,260000,919321,0.35,2,85,0,0,1,23624.03,707875,Increase
135,male,Baroda,31,75831,60630,190000,1338710,0.9,4,77,0,16,2,47075.37,438257,Stable
136,male,Imphal,63,227465,29101,470000,176934,0.96,1,82,0,0,0,32243.94,220224,Increase
137,male,Gurugram,50,104259,13642,250000,110363,0.28,2,82,5,0,2,29946.3,1000112,Stable
138,male,Haldwani,41,132198,97033,400000,1366224,0.11,0,69,0,17,1,119229.47,213180,Stable
139,male,Durgapur,21,43410,18961,130000,153394,0.87,0,43,0,29,6,67808.35,4163,Decrease
140,male,Ranchi,41,132898,37884,370000,79177,0.18,2,71,0,0,1,54731.28,1199335,Stable
141,female,Amritsar,21,21099,14548,60000,30405,0.19,2,75,2,0,2,20503.72,279132,Stable
142,male,Aurangabad,49,109439,2324,230000,51337,0.56,3,90,0,21,1,14149.07,1150464,Increase
143,female,Dehradun,28,42078,36161,120000,147536,0.0,0,47,0,0,5,69870.15,9193,Decrease
144,female,Pune,29,22418,12349,50000,285261,0.43,1,78,5,0,2,12919.95,118243,Stable
145,female,Coimbatore,29,36733,27546,80000,29749,0.32,3,77,0,0,1,19645.7,187073,Stable
146,male,Indore,43,137769,51484,290000,1189280,0.2,0,86,20,21,0,22480.12,1006123,Stable
147,male,Hyderabad,35,88821,1833,250000,36824,0.91,2,31,0,0,3,123605.69,10449,Increase
148,male,Noida,59,158211,20309,420000,306259,0.27,2,88,0,0,0,12878.96,1144176,Increase
149,male,Baroda,24,35374,32436,70000,327279,0.25,2,56,0,0,4,31792.95,141286,Stable
150,female,Jalandhar,49,123956,109808,350000,230596,0.23,3,53,0,0,2,103640.94,275400,Stable
151,male,Jind,36,60078,55603,140000,784002,0.13,1,74,18,0,2,33721.67,279117,Stable
152,male,Gurgaon,23,20402,16111,50000,323831,0.13,0,76,0,23,2,15271.77,213948,Stable
153,male,Thiruvananthapuram,28,30218,14082,90000,268825,0.2,2,43,0,0,7,69941.45,48501,Decrease
154,male,Nashik,28,23719,7047,70000,35939,0.59,1,53,0,0,4,29065.84,115500,Stable
155,male,Vadodara,29,24521,18728,70000,451157,0.06,3,76,0,0,2,14419.21,173049,Stable
156,female,Ambala,24,45365,4468,130000,94230,0.02,1,78,0,18,1,32068.05,106198,Stable
157,male,Saharanpur,45,120077,97872,300000,499147,0.23,1,75,22,0,2,70121.72,865426,Stable
158,female,Delhi,26,38035,33537,90000,371925,0.92,3,68,0,18,2,40873.99,128757,Stable
159,male,Ludhiana,47,143501,102585,290000,728353,0.02,0,66,0,0,2,67825.14,377291,Stable
160,female,Hoshiarpur,39,82750,33635,170000,641755,0.08,1,71,0,22,2,25513.41,257247,Stable
161,male,Aurangabad,49,145387,3210,430000,70876,0.22,2,79,0,0,2,46542.25,1056943,Stable
162,male,Panipat,30,34608,28547,70000,259492,0.2,1,54,0,0,2,31260.29,159745,Stable
163,female,Raipur,42,124937,66111,320000,667721,0.84,2,82,0,0,2,68273.69,856195,Stable
164,female,Itanagar,27,27804,14868,70000,90397,0.83,2,61,0,16,2,30453.06,119799,Stable
165,female,Jaipur,30,33918,9674,90000,49240,0.12,1,75,0,23,2,18153.96,199818,Stable
166,male,Bareilly,36,90434,54716,230000,1154507,0.27,4,71,0,0,1,54655.85,471575,Stable
167,female,Srinagar,49,108060,57254,320000,1322567,0.35,2,87,34,0,1,20932.82,1559235,Increase
168,male,Ludhiana,25,31070,29373,70000,61095,0.8,2,75,6,0,2,15719.62,147203,Stable
169,male,Tirunelveli,29,22887,15414,50000,309821,0.01,2,73,2,0,2,12949.52,201275,Stable
170,female,Erode,21,43805,10059,100000,182067,0.29,0,50,0,0,4,33084.5,53145,Stable
171,female,Nagpur,43,148058,103362,330000,1664128,0.05,3,87,0,0,0,34215.36,1218613,Increase
172,male,Aligarh,21,27727,20467,80000,186045,0.49,2,89,0,0,1,8482.42,498346,Stable
173,male,Ranchi,25,22257,7561,50000,38561,0.17,0,78,0,17,2,11064.84,120047,Stable
174,female,Nagapattinam,38,62137,5292,130000,58741,0.17,3,72,0,0,1,26533.62,570771,Increase
175,female,Hoshiarpur,22,38548,12188,80000,74224,0.34,0,55,0,0,2,39476.06,79622,Stable
176,female,Jind,44,149578,101415,410000,1733182,0.56,0,86,4,19,0,20613.7,1084250,Stable
177,male,Pune,24,38629,25309,80000,179187,0.26,2,76,0,85,1,25643.18,208929,Stable
178,male,Panipat,25,28347,18822,60000,397144,0.05,0,50,0,23,4,27623.53,153228,Stable
179,male,Muzaffarpur,41,119612,45199,280000,320912,0.02,1,76,8,0,2,28950.73,1066163,Stable
180,male,Ranchi,36,58593,29017,160000,31918,0.69,1,78,0,0,1,46756.65,518258,Stable
181,male,Hoshiarpur,28,34316,3621,70000,36572,0.62,3,43,6,22,7,54099.4,7861,Stable
182,male,Bhavnagar,33,58810,19011,130000,39923,0.03,3,65,27,24,2,34226.72,272865,Stable
183,female,Kottayam,55,181830,122152,400000,1597748,0.12,1,70,0,0,1,37876.91,851239,Increase
184,male,Gandhinagar,26,20824,6998,50000,28551,0.29,3,89,0,0,0,7464.18,471858,Increase
185,male,Agartala,29,40472,31794,100000,225101,0.2,0,55,3,0,3,46087.94,66962,Stable
186,male,Kottayam,38,53811,41658,150000,44990,0.09,7,60,11,19,3,63775.56,182526,Stable
187,female,Ghaziabad,26,38441,35195,90000,249180,0.67,1,53,0,0,2,41148.11,124211,Stable
188,male,Meerut,49,132563,20720,280000,271224,0.2,4,74,6,0,2,46129.03,918578,Stable
189,male,Jaipur,25,29754,4494,70000,90329,0.73,3,76,1,0,2,17601.23,212680,Stable
190,female,Kavaratti,24,42801,22978,100000,93750,0.81,2,55,6,0,2,42816.94,132001,Stable
191,male,Meerut,57,171044,5226,440000,5696,0.21,2,53,0,0,2,82514.44,438265,Stable
192,male,Panaji,27,28204,15089,70000,167337,0.78,2,81,0,0,2,23318.21,271276,Stable
193,male,Dhanbad,48,102710,54303,230000,765672,0.54,0,49,18,26,3,110434.58,39956,Stable
194,male,Lucknow,29,37703,6053,80000,109498,0.84,3,74,0,0,2,16005.59,222067,Stable
195,male,Ludhiana,24,31606,9987,80000,210725,0.64,2,66,3,68,2,27331.33,180252,Stable
196,female,Dehradun,51,193559,33113,570000,598683,0.44,0,89,0,0,0,20430.81,1450012,Increase
197,female,Faridabad,25,38737,14768,90000,281921,0.18,2,82,0,0,2,19688.74,202906,Stable
198,female,Coimbatore,55,193376,48419,410000,682223,0.06,2,50,0,0,2,84338.95,409487,Stable
199,male,Jalna,23,37948,13539,110000,14757,0.4,1,39,0,0,8,85463.85,2581,Decrease
200,male,Amritsar,21,34921,31624,90000,224214,0.71,0,39,0,0,8,67694.92,14160,Decrease
201,male,Indore,36,73261,5990,170000,36419,0.06,2,60,0,71,2,65317.39,178918,Stable
202,female,Nashik,50,139609,27628,290000,527694,0.29,1,70,0,0,1,30667.04,1194861,Stable
203,male,Amritsar,35,63534,0,180000,0,0.82,0,82,0,0,1,35967.77,333498,Stable
204,male,Chennai,36,52345,46241,140000,883203,0.25,3,79,23,0,2,29218.16,248628,Stable
205,female,Puducherry,26,26166,24337,80000,416162,0.47,0,74,0,90,1,25616.15,140169,Stable
206,male,Gurgaon,29,46563,33175,120000,335067,0.5,1,75,12,19,2,38678.66,161882,Stable
207,female,Tirunelveli,43,126087,81107,290000,168702,0.56,2,87,0,0,0,28027.02,1331608,Increase
208,female,Bhilwara,26,26913,19827,60000,61463,0.76,1,84,0,0,1,20859.64,186513,Stable
209,female,Gaya,24,20717,4145,50000,45968,0.14,1,35,0,0,5,33732.14,126,Increase
210,male,Pune,68,240231,210183,600000,229099,0.04,1,60,0,0,1,128662.07,122161,Increase
211,male,Chandigarh,33,70854,50879,200000,564756,0.66,0,81,0,0,2,45956.18,423353,Stable
212,male,Gwalior,63,212697,107415,620000,225571,0.36,0,64,0,0,1,144101.55,79494,Stable
213,male,Baroda,33,57061,15870,140000,144417,0.33,4,58,0,0,2,48684.46,282526,Stable
214,male,Udaipur,40,68733,45790,140000,1057749,0.16,3,79,0,0,2,23468.21,670234,Stable
215,male,Meerut,27,44935,6559,100000,131704,0.78,3,77,35,74,2,25169.59,105458,Stable
216,male,Gandhinagar,66,228369,107404,670000,1619652,0.13,1,36,0,0,1,116746.78,1999,Increase
217,female,Surat,69,248839,38235,550000,538731,0.17,1,74,0,0,1,71433.53,541273,Increase
218,male,Aizawl,48,141674,42719,400000,729640,0.04,0,73,0,0,1,82194.43,1033461,Stable
219,female,Muzaffarpur,47,133645,18313,390000,111709,0.99,0,79,0,0,1,90907.07,1006384,Stable
220,male,Aizawl,50,110575,82019,320000,1730600,0.51,0,79,0,0,1,35479.94,1073781,Stable
221,male,Amaravati,56,167897,36210,350000,836088,0.3,6,74,0,0,1,34423.62,705512,Stable
222,male,Chandigarh,30,20398,16269,40000,245336,0.95,3,79,0,0,1,13430.92,219470,Decrease
223,female,Aizawl,29,21255,14920,50000,269902,0.27,2,42,20,20,8,32074.56,16447,Stable
224,female,Dehradun,47,149454,21979,350000,155611,0.22,0,89,0,0,1,19145.29,1129502,Increase
225,female,Lucknow,27,33439,5249,80000,31966,0.33,3,64,0,0,3,27352.14,161128,Stable
226,female,Vadodara,24,41842,23347,110000,445694,0.11,0,69,3,0,3,52972.05,187172,Stable
227,male,Madurai,69,234375,52590,690000,583223,0.05,1,43,0,0,2,173897.22,16174,Increase
228,female,Noida,46,133662,13599,330000,96552,0.34,1,77,0,0,1,82293.69,1093186,Stable
229,male,Kanpur,62,203856,56342,500000,399464,0.23,0,82,0,0,1,31080.28,560686,Stable
230,male,Aligarh,23,34584,28327,90000,286102,0.69,3,40,0,0,6,54632.82,5287,Decrease
231,female,Meerut,22,30129,8833,60000,186287,0.49,1,59,0,0,2,26744.49,118704,Stable
232,female,Belgaum,25,44868,31750,110000,225425,0.0,1,78,4,0,2,34154.53,211552,Stable
233,female,Nagapattinam,50,120847,77343,330000,702274,0.17,3,42,0,0,3,171185.96,186645,Stable
234,female,Aligarh,59,187655,56219,490000,454249,0.72,4,80,0,0,1,60610.68,549033,Stable
235,female,Aurangabad,31,91552,36143,250000,328539,0.65,2,86,0,85,1,26120.72,763575,Stable
236,female,Gaya,21,26798,19725,80000,396275,0.27,1,56,2,17,4,35766.89,68345,Stable
237,female,Ahmedabad,48,148690,60236,360000,668017,0.34,1,64,0,0,2,102213.62,510103,Stable
238,female,Nellore,26,38327,8749,100000,96938,0.58,0,77,0,0,1,28572.07,260714,Stable
239,male,Kanpur,44,115194,2650,280000,18815,0.58,3,81,0,62,2,48319.41,748053,Stable
240,female,Bikaner,43,120181,4816,340000,106337,0.12,1,77,0,0,2,38811.7,562309,Increase
241,female,Moradabad,50,115662,45346,280000,502887,0.93,2,76,0,0,2,49846.22,867060,Stable
242,male,Gaya,29,28381,19239,80000,232599,0.01,0,73,2,0,2,26368.91,250310,Stable
243,female,Udaipur,25,43756,1178,90000,5984,0.18,0,75,0,0,1,27255.89,240247,Increase
244,male,Firozabad,31,51776,49152,120000,938803,0.32,1,73,21,0,1,18814.19,605033,Stable
245,male,Panaji,32,93763,18425,240000,38324,0.58,1,78,31,16,1,70610.07,425799,Stable
246,female,Nagapattinam,38,99598,43665,260000,920894,0.13,0,81,15,0,2,39907.78,551131,Stable
247,male,Chandrapur,58,154194,4577,340000,87374,0.23,2,86,0,0,1,19757.57,865062,Increase
248,male,Bhubaneswar,54,186735,76804,490000,1390152,0.11,1,40,0,0,3,171478.07,48995,Increase
249,male,Aurangabad,26,44923,25412,120000,78268,0.11,2,68,29,0,4,38853.01,173612,Stable
250,male,Haldwani,38,94233,61641,210000,66572,0.91,4,88,0,15,0,17304.05,1037647,Increase
251,female,Raebareli,31,83206,18249,200000,257128,0.16,4,82,33,29,1,49791.55,590182,Stable
252,male,Bhopal,27,45644,24394,130000,245891,0.47,0,75,14,22,1,29980.43,100855,Stable
253,female,Dispur,22,23799,7995,50000,64679,0.19,0,73,0,76,1,13360.2,156397,Stable
254,male,Port Blair,28,49019,26680,120000,189161,0.53,1,87,0,79,0,18314.26,321881,Stable
255,male,Udaipur,70,236198,5964,640000,36380,0.28,0,71,0,0,0,69591.84,246406,Increase
256,male,Raipur,45,113348,6555,250000,33364,0.74,3,75,0,0,2,48242.63,991270,Stable
257,male,Ahmedabad,34,80307,26978,200000,217982,0.05,0,63,0,0,2,59363.26,329456,Stable
258,female,Mumbai,22,46978,15570,130000,141687,0.51,3,87,0,0,1,14054.92,464135,Stable
259,female,Belgaum,21,42378,38570,90000,42427,0.43,0,50,5,24,3,32706.33,139959,Stable
260,male,Patna,47,138327,100814,310000,1723919,0.09,3,62,27,0,1,115802.99,374117,Stable
261,male,Kochi,21,42192,9457,110000,48230,0.94,0,70,0,0,1,33885.19,288824,Stable
262,female,Indore,21,48153,16919,110000,322983,0.66,0,89,0,0,0,23715.4,454033,Increase
263,male,Hyderabad,33,74001,11012,210000,210219,0.26,1,74,0,0,2,37750.97,572857,Stable
264,male,Gwalior,50,137817,107491,370000,654620,0.3,0,61,0,0,2,87748.79,285720,Stable
265,male,Moradabad,23,45339,26572,110000,28963,0.17,2,75,0,0,2,30539.34,259189,Stable
266,female,Bhilwara,33,59780,49851,130000,203890,0.33,2,74,0,0,1,36835.39,662084,Stable
267,female,Bilaspur,51,172376,35062,460000,739808,0.28,1,89,8,16,0,41309.05,1041685,Stable
268,female,Madurai,24,46085,14850,100000,149688,0.26,3,47,0,0,8,58549.9,48405,Stable
269,male,Vadodara,31,76750,27874,230000,532393,0.14,4,72,8,0,2,47491.06,532401,Stable
270,male,Jaipur,26,22955,12605,50000,13739,0.11,3,77,0,25,1,17036.57,191846,Stable
271,female,Lucknow,25,46866,39174,110000,277351,0.01,0,78,1,89,2,27202.29,123994,Stable
272,female,Rishikesh,35,61092,9297,140000,66008,0.47,1,51,0,0,2,37443.96,271502,Stable
273,female,Shillong,47,121532,24440,320000,99959,0.19,0,72,0,0,2,45189.58,814460,Stable
